Part#|Plant|Warehouse|Inv. Lov|Box Unit|Dept|Stock Date
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100130|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260202
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007289729330|1815|181|SORT2|256.000|E|20260203
000000007297484440|1815|181|SORT2|150.000|E|20260131
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007289729330|1815|181|SORT2|256.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007289729330|1815|181|SORT2|256.000|E|20260203
000000007298482630|1815|181|SORT2|120.000|E|20260203
000000007288729530|1815|181|SORT2|150.000|E|20260203
000000007288729530|1815|181|SORT2|150.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007288729530|1815|181|SORT2|150.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007289729330|1815|181|SORT2|256.000|E|20260203
000000007289729330|1815|181|SORT2|256.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100130|1815|181|SORT2|96.000|E|20260203
000000007298100130|1815|181|SORT2|96.000|E|20260203
000000007298100130|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100740|1815|181|SORT2|96.000|E|20260203
000000007298100130|1815|181|SORT2|96.000|E|20260203
000000007298100130|1815|181|SORT2|96.000|E|20260203
000000007298100130|1815|181|SORT2|96.000|E|20260203
000000007289729330|1815|181|SORT2|256.000|E|20260203
000000007289729330|1815|181|SORT2|256.000|E|20260203
000000007289729330|1815|181|SORT2|256.000|E|20260203
000000007298100130|1815|181|SORT2|96.000|E|20260203
000000007283592710|1815|181|WE-ZONE|486.000|E|20251020
000000007225960960|1815|181|WE-ZONE|336.000|E|20251020
000000000072821060|1815|181|WE-ZONE|1200.000|E|20251028
000000007282374040|1815|181|WE-ZONE|400.000|E|20251029
000000007283592710|1815|181|WE-ZONE|486.000|E|20251105
000000007283344040|1815|181|WE-ZONE|1080.000|E|20251105
000000007287904230|1815|181|WE-ZONE|448.000|E|20251105
000000000072773005|1815|181|WE-ZONE|192.000|E|20251106
000000007289792830|1815|181|WE-ZONE|1800.000|E|20251111
000000000072773005|1815|181|WE-ZONE|192.000|E|20251117
000000007283638640|1815|181|WE-ZONE|2000.000|E|20251121
000000007283557010|1815|181|WE-ZONE|672.000|E|20251124
000000007282607530|1815|181|WE-ZONE|1500.000|E|20251126
000000000072873831|1815|181|WE-ZONE|936.000|E|20251127
000000007298546030|1815|181|WE-ZONE|1080.000|E|20251127
000000007283607630|1815|181|WE-ZONE|1000.000|E|20251129
000000007288302910|1815|181|WE-ZONE|480.000|E|20251201
000000007298432930|1815|181|WE-ZONE|450.000|E|20251201
000000007298432930|1815|181|WE-ZONE|450.000|E|20251201
000000007298432930|1815|181|WE-ZONE|450.000|E|20251201
000000007298432930|1815|181|WE-ZONE|450.000|E|20251201
000000007298432930|1815|181|WE-ZONE|450.000|E|20251201
000000007298432930|1815|181|WE-ZONE|450.000|E|20251201
000000007283607930|1815|181|WE-ZONE|1000.000|E|20251202
000000007283607930|1815|181|WE-ZONE|1000.000|E|20251202
000000007287191630|1815|181|WE-ZONE|960.000|E|20251203
000000007282656840|1815|181|WE-ZONE|600.000|E|20251203
000000007298432930|1815|181|WE-ZONE|450.000|E|20251208
000000000072773005|1815|181|WE-ZONE|192.000|E|20251209
000000007287619710|1815|181|WE-ZONE|504.000|E|20251202
000000007283114840|1815|181|WE-ZONE|1200.000|E|20251212
000000007283557010|1815|181|WE-ZONE|672.000|E|20251214
000000007283563430|1815|181|WE-ZONE|900.000|E|20251216
000000000072773005|1815|181|WE-ZONE|192.000|E|20251229
000000000072773005|1815|181|WE-ZONE|192.000|E|20251229
000000007289949640|1815|181|WE-ZONE|150.000|E|20251217
000000007298432930|1815|181|WE-ZONE|450.000|E|20251230
000000007298546030|1815|181|WE-ZONE|1080.000|E|20251230
000000007222621440|1815|181|WE-ZONE|1200.000|E|20260106
000000007225960960|1815|181|WE-ZONE|336.000|E|20260106
000000007283646940|1815|181|WE-ZONE|936.000|E|20260106
000000007282644940|1815|181|WE-ZONE|1200.000|E|20260112
000000000072831556|1815|181|WE-ZONE|1200.000|E|20260119
000000000072851328|1815|181|WE-ZONE|144.000|E|20260119
000000007123501430|1815|181|WE-ZONE|2000.000|E|20260120
000000007298522230|1815|181|WE-ZONE|720.000|E|20260127
000000007298522230|1815|181|WE-ZONE|720.000|E|20260127
000000007286107630|1815|181|WE-ZONE|480.000|E|20260127
000000007289873730|1815|181|WE-ZONE|672.000|E|20260128
000000007289551930|1815|181|WE-ZONE|648.000|E|20260128
000000007298800130|1815|181|WE-ZONE|560.000|E|20260128
000000007282644940|1815|181|WE-ZONE|623.000|E|20260129
000000007289873730|1815|181|WE-ZONE|768.000|E|20260129
000000007283607930|1815|181|WE-ZONE|1000.000|E|20260130
000000007298432970|1815|181|WE-ZONE|400.000|E|20260130
000000007283607930|1815|181|WE-ZONE|1000.000|E|20260130
000000007283607930|1815|181|WE-ZONE|1000.000|E|20260130
000000007283607930|1815|181|WE-ZONE|1000.000|E|20260130
000000007283656040|1815|181|WE-ZONE|1300.000|E|20260131
000000007282554310|1815|181|WE-ZONE|548.000|E|20260131
000000007283646940|1815|181|WE-ZONE|936.000|E|20260202
000000007222621440|1815|181|WE-ZONE|1000.000|E|20260202
000000007289551930|1815|181|WE-ZONE|567.000|E|20260203
000000007298908540|1815|181|SORT3|504.000|E|20260124
000000007282645840|1815|181|SORT3|800.000|E|20260124
000000007287619710|1815|181|SORT3|504.000|E|20260125
000000007297483930|1815|181|SORT3|150.000|E|20260123
000000007287619710|1815|181|SORT3|504.000|E|20260125
000000007287619710|1815|181|SORT3|504.000|E|20260125
000000007287619710|1815|181|SORT3|504.000|E|20260125
000000007289016330|1815|181|SORT3|1296.000|E|20260125
000000007287888240|1815|181|SORT3|160.000|E|20260126
000000007287619710|1815|181|SORT3|504.000|E|20260126
000000007287619710|1815|181|SORT3|504.000|E|20260126
000000007283656040|1815|181|SORT3|2000.000|E|20260126
000000007298458830|1815|181|SORT3|120.000|E|20260126
000000007297527130|1815|181|SORT3|1024.000|E|20260126
000000007297527130|1815|181|SORT3|1024.000|E|20260126
