Inventory Location|Box Unit|Part No.||Dept
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|244|000000007183557410|20260203|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|120|000000007189820130|20260202|E
917|SORT2|324|000000007187919230|20260204|E
917|SORT2|324|000000007187919230|20260204|E
917|SORT2|324|000000007187919230|20260204|E
917|SORT2|324|000000007187919230|20260203|E
917|SORT2|324|000000007187919230|20260203|E
917|SORT2|324|000000007187919230|20260203|E
917|SORT2|324|000000007187919230|20260203|E
917|SORT2|324|000000007187919230|20260203|E
917|SORT2|324|000000007187919230|20260203|E
917|SORT2|324|000000007187919230|20260203|E
917|SORT2|324|000000007187919230|20260203|E
917|SORT2|324|000000007187919230|20260203|E
917|SORT2|120|000000007189820130|20260125|E
917|SORT2|192|000000007183419030|20260127|E
917|SORT2|192|000000007183419030|20260127|E
917|SORT2|192|000000007183419030|20260127|E
917|SORT2|192|000000007183419030|20260127|E
917|SORT2|192|000000007183419030|20260127|E
917|SORT2|110|000000007188819830|20260127|E
917|SORT2|244|000000007183557410|20260128|E
917|SORT2|244|000000007183557410|20260128|E
917|SORT2|244|000000007183557410|20260128|E
917|SORT2|244|000000007183557410|20260128|E
917|SORT2|244|000000007183557410|20260128|E
917|SORT2|244|000000007183557410|20260128|E
917|SORT2|244|000000007183557410|20260128|E
917|SORT2|244|000000007183557410|20260128|E
917|SORT2|244|000000007183557410|20260128|E
917|SORT2|120|000000007189820130|20260128|E
917|SORT2|120|000000007189820130|20260128|E
917|SORT2|244|000000007183557410|20260129|E
917|SORT2|244|000000007183557410|20260129|E
917|SORT2|244|000000007183557410|20260129|E
917|SORT2|244|000000007183557410|20260129|E
917|SORT2|244|000000007183557410|20260129|E
917|SORT2|244|000000007183557410|20260129|E
917|SORT2|244|000000007183557410|20260129|E
917|SORT2|244|000000007183557410|20260129|E
917|SORT2|244|000000007183557410|20260129|E
917|SORT2|120|000000007189820130|20260130|E
917|SORT2|120|000000007189820130|20260130|E
917|SORT2|120|000000007189820130|20260130|E
917|SORT2|120|000000007189820130|20260130|E
917|SORT2|120|000000007189820130|20260130|E
917|SORT2|110|000000007188819830|20260129|E
