Fecha|Part#|Turno|Piezas|Estandar|Cost|Linea|Celda|Planta|Dado|Time
20251102|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|102423
20251111|7157781580|1|5000.000|5000.000|78.08|E1C11001|E1C|1815|C11-02|143020
20251110|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|105408
20251210|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|112648
20251030|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|112614
20251215|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|150012
20251009|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|143021
20251216|70475344|1|6016.000|6016.000|52.75|E1C11001|E1C|1815|C11-02|143019
20251118|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|143032
20251011|7152550130|1|180.000|180.000|28.69|E1C11001|E1C|1815|C11-02|143032
20251013|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143032
20251112|7172179830|1|150.000|150.000|11.00|E1C11001|E1C|1815|C11-02|143032
20251022|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|150041
20251025|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|115542
20251028|7173453440|1|4000.000|4000.000|42.36|E1C11001|E1C|1815|C11-02|112518
20251030|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|105435
20251211|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|112652
20251021|7158708050|1|6000.000|6000.000|131.38|E1C11001|E1C|1815|C11-02|112642
20251217|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|113108
20251021|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|102443
20251028|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|102303
20251024|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|112549
20251216|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|113046
20251217|7173453440|1|4000.000|4000.000|42.36|E1C11001|E1C|1815|C11-02|143008
20251006|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|173628
20251029|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|102308
20251109|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|102308
20251030|7122412330|1|700.000|700.000|58.73|E1C11001|E1C|1815|C11-02|112335
20251031|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|112515
20251103|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|105429
20251102|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|105559
20251107|7122412330|1|700.000|700.000|58.73|E1C11001|E1C|1815|C11-02|102422
20251026|7152550130|1|180.000|180.000|28.69|E1C11001|E1C|1815|C11-02|102406
20251025|7173542030|1|300.000|300.000|12.73|E1C11001|E1C|1815|C11-02|102420
20251016|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|113045
20251012|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|173121
20251028|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|150019
20251201|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|142954
20251110|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|112459
20251102|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|113123
20251021|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|102432
20251102|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|143302
20251004|70471664|1|1200.000|1200.000|26.42|E1C11001|E1C|1815|C11-02|143006
20251011|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143006
20251105|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|143006
20251105|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|142943
20251018|7173542030|1|300.000|300.000|12.73|E1C11001|E1C|1815|C11-02|112448
20251031|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|112551
20251007|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|112443
20251118|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112603
20251212|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|112443
20251130|7173453440|1|4000.000|4000.000|42.36|E1C11001|E1C|1815|C11-02|112452
20251206|7172179830|1|150.000|150.000|11.00|E1C11001|E1C|1815|C11-02|113125
20251215|71851037|1|250.000|250.000|40.77|E1C11001|E1C|1815|C11-02|112452
20251019|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|105416
20251103|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|105416
20251020|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|173701
20251127|7122412330|1|700.000|700.000|58.73|E1C11001|E1C|1815|C11-02|173625
20251017|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|150037
20251101|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|150037
20251026|7152550130|1|180.000|180.000|28.69|E1C11001|E1C|1815|C11-02|112341
20251210|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|112341
20251130|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|135835
20251103|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112442
20251113|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|150039
20251030|7172179830|1|150.000|150.000|11.00|E1C11001|E1C|1815|C11-02|142925
20251024|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|173141
20251022|71741048|1|160.000|160.000|32.28|E1C11001|E1C|1815|C11-02|142947
20251102|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|115659
20251213|7172179830|1|150.000|150.000|11.00|E1C11001|E1C|1815|C11-02|150008
20251123|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|150014
20251019|7173542030|1|300.000|300.000|12.73|E1C11001|E1C|1815|C11-02|112353
20251217|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|112504
20251202|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|113118
20251025|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|135841
20251023|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|092324
20251010|71479093|1|4000.000|4000.000|133.24|E1C11001|E1C|1815|C11-02|112434
20251112|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|112434
20251207|7152550130|1|180.000|180.000|28.69|E1C11001|E1C|1815|C11-02|112457
20251104|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|142949
20251010|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|150035
20251031|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|150035
20251218|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|102242
20251112|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|105411
20251026|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|113121
20251026|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|102313
20251123|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|112601
20251202|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|102329
