Part Number|Die No.|Sequence No.|Inventory Location|Stock Date|Cost/Fact|Cost Purchase|Box Unit
000000000071851965||41L18919J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18920J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18974J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18975J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51B32739J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32738J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32737J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||41L18976J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18921J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18922J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18923J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18949J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51B32745J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||41L19692J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19691J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19690J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19689J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19688J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19687J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19686J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19685J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19684J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19683J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19682J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19681J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19040J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19039J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19038J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51C21186J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21187J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21188J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21189J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21190J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21191J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51B32755J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32756J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32757J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||41L19698J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19699J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51B32746J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||41L18948J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18947J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18946J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18945J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18944J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18943J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18942J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18941J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51A32357J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32356J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32355J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32354J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32353J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||41L18925J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18926J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18927J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18928J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18977J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18978J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18979J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18980J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51B32675J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32674J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32673J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32672J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32671J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32747J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51A32346J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32345J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32344J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A20955J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20954J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20953J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20952J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20951J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51B32736J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32735J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32734J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32733J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32732J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32731J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32679J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32678J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32677J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32676J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||41L18940J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51C09573J|TRAILER01|20250309|3.12871|1000.000|96.000
000000000071851965||51C09572J|TRAILER01|20250309|3.12871|1000.000|96.000
000000000071851965||51C09571J|TRAILER01|20250309|3.12871|1000.000|96.000
000000000071851965||51C21159J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21160J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21161J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21162J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21163J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51A32347J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||41L19009J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19010J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19011J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19012J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19013J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19014J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19015J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19016J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19017J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19018J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19019J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19020J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19021J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19022J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19023J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18929J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18930J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18931J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18932J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18933J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18934J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18967J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51A32352J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32351J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32350J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32349J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51A32348J|TRAILER01|20250127|3.12871|1000.000|96.000
000000000071851965||51C21164J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21199J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||51C21200J|TRAILER01|20250320|3.12871|1000.000|96.000
000000000071851965||41L19036J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19035J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19034J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19033J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19032J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19031J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19030J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19029J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19028J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19027J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19026J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19025J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51A20938J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20937J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51B32758J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32761J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32762J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||41L19697J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19696J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19695J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19694J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L19693J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51B32744J|TRAILER01|20250227|3.12871|1000.000|96.000
