Inventory|Location|Box Unit|Part No.|Date|Dept
3MR|C0037|150.000|000000007297573230|20251212|E
3MR|C0113|150.000|000000007297957730|20251122|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0113|150.000|000000007297957730|20251123|E
3MR|C0115|150.000|000000007297008830|20260111|E
3MR|FG502|150.000|000000007297870430|20250328|E
3MR|FG503|150.000|000000007297290630|20231022|E
3MR|FG503|150.000|000000007297615630|20240202|E
3MR|FG503|150.000|000000007297165030|20240603|E
3MR|FG504|150.000|000000007297478440|20210922|E
3MR|FG504|150.000|000000007297478440|20210927|E
3MR|FG504|150.000|000000007297166130|20211008|E
3MR|FG504|150.000|000000007297166730|20211105|E
3MR|FG504|150.000|000000007297166730|20211105|E
3MR|FG504|150.000|000000007297166730|20211105|E
3MR|FG504|150.000|000000007297572330|20230119|E
3MR|FG505|150.000|000000007297225830|20231211|E
3MR|FG505|150.000|000000007297707830|20240324|E
3MR|FG506|150.000|000000007297290630|20231022|E
3MR|FG507|150.000|000000007297166730|20211105|E
3MR|FG507|150.000|000000007297290630|20231022|E
3MR|FG507|150.000|000000007297290630|20231022|E
3MR|FG508|150.000|000000007297747030|20250722|E
3MR|FG508|150.000|000000007297575530|20250831|E
3MR|FG509|150.000|000000007297572130|20231113|E
3MR|FG510|150.000|000000007297615630|20240202|E
3MR|FG510|150.000|000000007297708230|20240331|E
3MR|FG500|150.000|000000007297478440|20210927|E
3MR|FG500|150.000|000000007297478440|20210927|E
3MR|FG500|150.000|000000007297478440|20210927|E
3MR|FG500|150.000|000000007297583640|20220815|E
3MR|FG500|150.000|000000007297746330|20220906|E
3MR|FG500|150.000|000000007297574430|20221029|E
3MR|FG501|150.000|000000007297166730|20211105|E
3MR|FG501|150.000|000000007297616630|20220823|E
3MR|C0120|150.000|000000007297073930|20260117|E
3MR|C0120|150.000|000000007297073930|20260117|E
3MR|C0120|150.000|000000007297073930|20260117|E
3MR|C0121|150.000|000000007297289530|20251210|E
3MR|C0132|150.000|000000007297707830|20240325|E
3MR|C0132|150.000|000000007297708230|20240331|E
3MR|C0132|150.000|000000007297618330|20250430|E
3MR|C0132|150.000|000000007297871330|20250609|E
3MR|C0132|150.000|000000007297958030|20251229|E
3MR|C0133|150.000|000000007297957630|20250211|E
3MR|C0133|150.000|000000007297957730|20250810|E
3MR|C0133|150.000|000000007297747130|20250822|E
3MR|C0133|150.000|000000007297810730|20251115|E
3MR|C0133|150.000|000000007297810730|20251118|E
3MR|C0133|150.000|000000007297287430|20251127|E
3MR|C0133|150.000|000000007297958030|20251229|E
3MR|C0138|150.000|000000007297870030|20251126|E
3WE|F01-01B07|750.000|S0071838927|20260116|E
3WE|F01-01B07|750.000|S7123744440|20260120|E
3WE|F01-01B07|1250.000|S0071832414|20260122|E
3WE|F01-01B07|1250.000|S0071832414|20260122|E
3WE|F01-01B07|750.000|S7183241540|20260122|E
3WE|F01-01B07|2500.000|S0071231520|20260123|E
3WE|F01-01B07|750.000|S7183241540|20260125|E
3WE|F01-01B07|1250.000|S7183241430|20260124|E
3WE|F01-01B07|1250.000|S7123162990|20260125|E
3WE|F01-01B10|750.000|S7183241540|20260123|E
3WE|F01-01B01|1250.000|S0071193070|20260116|E
3WE|F01-01B01|1750.000|S0071238345|20260119|E
3YC|E36-01B02|140.000|000000007187887930|20260121|E
3NO|5173|588.000|000000007283907880|20260129|E
3NO|5173|588.000|000000007283907880|20260129|E
3M1|BAJIO|10000.000|000000007123501430|20260120|E
3YC|G01-01A03|270.000|000000007189396130|20260114|E
3YC|G01-01A03|3088.000|000000000071585987|20260122|E
3YC|RETORNOS|1544.000|000000007183902340|20260123|E
3YC|G01-01A18|408.000|000000007183554310|20260129|E
3YC|G01-01A18|408.000|000000007183554310|20260129|E
3NO|5116|770.000|000000007289289540|20260129|E
3NO|5173|770.000|000000007289289540|20260129|E
3NO|5173|770.000|000000007289289540|20260129|E
3NO|5173|770.000|000000007289289540|20260129|E
2FG|C01-01B02|896.000|000000000071721355|20260129|E
2FG|C01-01B02|896.000|000000000071721355|20260129|E
2FG|C01-01B02|896.000|000000000071721355|20260129|E
2FG|C01-01B02|896.000|000000000071721355|20260129|E
3YC|E28-01B08|324.000|000000000071850489|20260108|E
2FG|C01-01B02|896.000|000000000071721355|20260129|E
2FG|C01-01B02|896.000|000000000071721355|20260129|E
3MR|C0072|4860.000|000000007158741350|20260107|E
3MR|C0072|770.000|000000007289549130|20260107|E
3MR|C0072|770.000|000000007289549130|20260107|E
3MR|C0072|770.000|000000007289549130|20260108|E
3MR|C0072|770.000|000000007289549130|20260108|E
3MR|C0072|770.000|000000007289549130|20260108|E
3MR|C0072|770.000|000000007289549130|20260108|E
3MR|C0072|770.000|000000007289549130|20260108|E
3MR|C0072|1800.000|000000007298102840|20260108|E
3MR|C0072|1800.000|000000007298102840|20260109|E
3MR|C0072|1800.000|000000007298102840|20260109|E
3MR|C0072|1800.000|000000007298102840|20260109|E
3MR|C0072|1800.000|000000007298102840|20260109|E
3MR|C0073|1800.000|000000007298102840|20260109|E
3MR|C0073|770.000|000000007289289430|20260112|E
3MR|C0073|770.000|000000007289289430|20260112|E
3MR|C0073|770.000|000000007283643440|20260114|E
3MR|C0074|588.000|000000007283904030|20260120|E
3MR|C0074|588.000|000000007283904030|20260120|E
3MR|C0074|588.000|000000007283904030|20260120|E
3MR|C0074|588.000|000000007283904030|20260120|E
3YC|H01-01A01|880.000|000000007188694130|20260125|E
3YC|H01-01A01|880.000|000000007188694130|20260125|E
3YC|G01-01A20|4160.000|000000000071721336|20260123|E
3YC|G01-01A20|4160.000|000000000071721336|20260123|E
3YC|G01-01A20|4160.000|000000000071721336|20260123|E
3YC|G01-01A20|4160.000|000000000071721336|20260122|E
3YC|G01-01A20|4160.000|000000000071721336|20260123|E
3YC|G01-01A20|4160.000|000000000071721336|20260122|E
3YC|G01-01A20|4160.000|000000000071721336|20260122|E
3YC|E04-01B08|408.000|000000000071894762|20260123|E
3YC|E04-01B08|408.000|000000000071894762|20260123|E
3YC|G01-01A12|860.000|000000007189973840|20260127|E
CA1|CA128|264.000|000000007183321430|20260108|E
CA1|CA128|264.000|000000007183321430|20260109|E
CA1|CA128|264.000|000000007183321430|20260109|E
3NO|5173|770.000|000000007289289540|20260129|E
3YC|E06-01B12|3800.000|000000000071586526|20260125|E
3YC|E06-01B11|3800.000|000000000071586526|20260125|E
3YC|E06-01B11|3800.000|000000000071586526|20260125|E
3MR|C0078|770.000|000000007283645740|20260119|E
3MR|C0078|4500.000|000000000071231424|20260121|E
3MR|C0078|693.000|000000007298465310|20260121|E
3MR|C0077|896.000|000000007288694240|20260107|E
3MR|C0077|4500.000|000000000071231424|20260122|E
3YC|E06-01A02|280.000|000000007183594640|20260127|E
3YC|E06-01A02|280.000|000000007183594640|20260127|E
3YC|E06-01A02|280.000|000000007183594640|20260127|E
3MR|C0079|1716.000|000000007283645470|20260117|E
3MR|C0079|770.000|000000007283645740|20260117|E
3MR|C0079|1716.000|000000007283645470|20260117|E
3MR|C0079|770.000|000000007283645740|20260117|E
3MR|C0079|1716.000|000000007283645470|20260117|E
3MR|C0079|770.000|000000007283645740|20260117|E
3MR|C0079|1540.000|000000007283646640|20260125|E
3MR|C0079|1540.000|000000007283646640|20260125|E
3MR|C0079|1540.000|000000007283646640|20260125|E
3MR|C0137|200.000|000000007282278430|20220719|E
1YC|A01-05C02|200.000|000000000071861919|20250206|E
3MR|C0031|150.000|000000007298956030|20250831|E
3MR|C0031|150.000|000000007298956030|20250831|E
3MR|C0031|150.000|000000007297451830|20250919|E
3MR|C0031|150.000|000000007297451830|20250919|E
3MR|C0052|150.000|000000007298509130|20230928|E
3MR|C0052|150.000|000000007298709230|20241014|E
3MR|C0052|150.000|000000007297583440|20241126|E
3MR|C0052|150.000|000000007298628530|20250124|E
3MR|C0052|150.000|000000007298006630|20250817|E
3MR|C0033|150.000|000000007298956030|20250831|E
3MR|C0034|150.000|000000007297845330|20241119|E
3MR|C0034|150.000|000000007297872330|20250506|E
3MR|C0034|150.000|000000007297812330|20251003|E
3MR|C0054|150.000|000000007297287230|20210922|E
3MR|C0054|150.000|000000007298624130|20231002|E
3MR|C0054|150.000|000000007298624130|20231002|E
3MR|C0054|150.000|000000007297745530|20231120|E
3MR|C0054|150.000|000000007298293230|20240127|E
3MR|C0054|150.000|000000007283419240|20250724|E
3MR|C0054|150.000|000000007277076330|20250803|E
3MR|C0054|150.000|000000007277076530|20250811|E
3MR|C0054|150.000|000000007298956030|20250831|E
3MR|C0035|150.000|000000007277076330|20250803|E
3MR|C0035|150.000|000000007298006630|20250817|E
3MR|C0035|150.000|000000007298956030|20250831|E
3MR|C0036|150.000|000000007297810430|20250726|E
3MR|C0036|150.000|000000007297812330|20251003|E
3MR|C0036|150.000|000000007297812330|20251003|E
3MR|C0036|150.000|000000007298748330|20251110|E
3MR|C0036|150.000|000000007298748330|20251110|E
3MR|C0036|150.000|000000007298748330|20251110|E
3MR|C0037|150.000|000000007297812430|20251203|E
3MR|C0037|150.000|000000007297812430|20251203|E
3MR|C0037|150.000|000000007297812430|20251205|E
3MR|C0037|150.000|000000007297812430|20251209|E
3MR|C0037|150.000|000000007297812430|20251209|E
3MR|C0038|150.000|000000007297746730|20251212|E
3MR|C0039|150.000|000000007283419240|20250724|E
3MR|C0039|150.000|000000007297618930|20250906|E
3MR|C0039|150.000|000000007297614430|20260107|E
3MR|C0115|150.000|000000007277116930|20260120|E
3MR|FG502|150.000|000000007298631630|20250301|E
3MR|FG502|150.000|000000007298750130|20250315|E
1YC|A01-01A01|150.000|000000007197483930|20260104|E
1YC|A01-01A01|150.000|000000007197483930|20251121|E
3MR|FG503|150.000|000000007297287230|20211009|E
3MR|FG503|150.000|000000007298709130|20250418|E
3MR|FG504|150.000|000000007297287230|20210922|E
3MR|FG504|150.000|000000007297289230|20211007|E
3MR|FG504|150.000|000000007297287230|20211009|E
3MR|FG504|150.000|000000007297453530|20211107|E
3MR|FG504|150.000|000000007297453530|20211203|E
3MR|FG504|150.000|000000007289945030|20220629|E
3MR|FG504|150.000|000000007298842130|20220805|E
3MR|FG504|150.000|000000007298159530|20220922|E
3MR|FG504|150.000|000000007298623130|20221004|E
3MR|FG504|150.000|000000007298623130|20221004|E
3MR|FG504|150.000|000000007297168830|20221006|E
3MR|FG504|150.000|000000007298842130|20221128|E
3MR|FG504|150.000|000000007298815630|20230924|E
1YC|A01-02A01|150.000|000000007197483930|20260102|E
3MR|FG505|150.000|000000007297614330|20210922|E
3MR|FG505|150.000|000000007288947730|20211127|E
3MR|FG505|150.000|000000007297583440|20241126|E
3MR|FG505|150.000|000000007297583440|20241126|E
3MR|FG505|150.000|000000007298709130|20250418|E
3MR|FG506|150.000|000000007298623130|20221004|E
3MR|FG506|150.000|000000007298815630|20230924|E
3MR|FG506|150.000|000000007298815630|20230924|E
3MR|FG506|150.000|000000007298815630|20230924|E
3MR|FG506|150.000|000000007298815630|20230925|E
3MR|FG506|150.000|000000007298629430|20230927|E
3MR|FG506|150.000|000000007298749030|20231002|E
3MR|FG506|150.000|000000007298815530|20231114|E
3NO|2000886|150.000|000000007298627930|20251019|E
3MR|FG507|150.000|000000007298815630|20230924|E
3MR|FG507|150.000|000000007298815630|20230924|E
3MR|FG507|150.000|000000007298629430|20230925|E
3MR|FG507|150.000|000000007298293230|20240127|E
3MR|FG507|150.000|000000007298293230|20240127|E
3MR|FG507|150.000|000000007298293230|20240127|E
3MR|FG508|150.000|000000007298709130|20250418|E
