Cntrl Pl. Plant|Maquina|Celda|FECHA|Hora inicio|Part#|Dado|Cavidades|T ciclico|Resina
1815|F0204040|F02|20260204|130014|71584720|UA1|0000000008|12.010|M510006100
1815|F0101507|F01|20260204|130014|71585369|UB1|0000000008|13.795|M510006100
1815|F0101022|F01|20260204|130014|71585370|E1|0000000008|15.610|M510006100
1815|F0101501|F01|20260204|130014|71585372|UA1|0000000002|14.998|M510006100
1815|F0204008|F02|20260204|130014|71585978|UA1|0000000008|15.811|M510006100
1815|F0101018|F01|20260204|130014|71585987|UA1|0000000008|16.387|M510006100
1815|F0204040|F02|20260204|130014|71586173|Y1|0000000004|15.206|M510017200
1815|F0101018|F01|20260204|130014|71586192|UA1|0000000004|13.694|M510006100
1815|F0204040|F02|20260204|130014|71586200|UA1|0000000008|19.498|M510006100
1815|G0105022|G01|20260204|130014|71586423|UA1|0000000008|12.614|M510057100
1815|G0205032|G02|20260204|130014|71586424|UA1|0000000008|14.803|M510057100
1815|G0205032|G02|20260204|130014|71586425|UB1|0000000008|15.005|M510057100
1815|G0405033|G04|20260204|130014|71586452|Y3|0000000004|18.994|M510006100
1815|F0605008|F06|20260204|130014|71586526|UB1|0000000008|14.112|M510018800
1815|F0311051|F03|20260204|130014|71586747|Y1|0000000004|13.997|M510017200
1815|F0204003|F02|20260204|130014|71586992|Y2|0000000008|19.498|M510017200
1815|F0604049|F06|20260204|130014|71720096|Y2|0000000008|12.010|M510017200
1815|F0411003|F04|20260204|130014|71720186|Y3|0000000016|13.018|M510006100
1815|G0201505|G02|20260204|130014|71720235|Y1|0000000002|16.697|M510057100
1815|F0605008|F06|20260204|130014|71720241|Y3|0000000008|16.589|M510104300
1815|G0205005|G02|20260204|130014|71720335|Y1|0000000004|12.701|M510022100
1815|F0605001|F06|20260204|130014|71720672|Y2|0000000004|21.499|M510006100
1815|F0101508|F01|20260204|130014|71720738|Y1|0000000008|17.597|M510006100
1815|F0605013|F06|20260204|130014|71720953|YA1|0000000008|13.709|M510129100
1815|F0605004|F06|20260204|130014|71721299|Y1|0000000016|13.478|M510129100
1815|F0511024|F05|20260204|130014|71721357|Y1|0000000008|23.501|M510129100
1815|F0101029|F01|20260204|130014|71721361|Y1|0000000008|16.013|M510129100
1815|G0205006|G02|20260204|130014|71721522|Y1|0000000008|16.013|M510022100
1815|G0105015|G01|20260204|130014|71721532|Y1|0000000008|14.486|M510018800
1815|F0101501|F01|20260204|130014|71721698|YA1|0000000004|15.005|M510065200
1815|G0105022|G01|20260204|130014|71721699|YA1|0000000016|18.029|M510065200
1815|F0311051|F03|20260204|130014|71721704|YA1|0000000008|23.990|M510018800
1815|F0411010|F04|20260204|130014|71721706|YA1|0000000008|19.008|M510018800
1815|G0201505|G02|20260204|130014|71721773|YA1|0000000004|14.256|M510017200
1815|F0411010|F04|20260204|130014|71721795|YA1|0000000008|18.000|M510018800
1815|F0305025|F03|20260204|130014|71721811|YA1|0000000008|19.987|M510017200
1815|F0605017|F06|20260204|130014|71721857|YA1|0000000008|17.568|M510017200
1815|G0201504|G02|20260204|130014|71721887|YA1|0000000004|20.995|M510065200
1815|G0205004|G02|20260204|130014|71721983|YA1|0000000008|14.544|M510017200
1815|G0105020|G01|20260204|130014|71722096|YA1|0000000008|18.000|M510092600
1815|F0512004|F05|20260204|130014|71733440|M1|0000000004|24.394|M510129100
1815|F0204040|F02|20260204|130014|71821198|UB1|0000000002|47.002|M510006100
1815|F0604050|F06|20260204|130014|71826074|UB1|0000000004|19.397|M510017200
1815|F0305022|F03|20260204|130014|71835846|UA5|0000000004|18.504|M510006100
1815|F0605002|F06|20260204|130014|71837166|M1|0000000004|16.502|M510006100
1815|F0604049|F06|20260204|130014|71837167|UA1|0000000004|29.506|M510006100
1815|G0105013|G01|20260204|130014|71871916|UA3|0000000004|18.302|M510057100
1815|G0411024|G04|20260204|130014|71894762|M1|0000000004|26.107|M510092600
1815|F0605009|F06|20260204|130014|71986332|YA2|0000000002|22.997|M510109200
1815|F0604050|F06|20260204|130014|7122744440|UB1|0000000002|25.099|M510006110
1815|F0604052|F06|20260204|130014|7122746430|UB1|0000000002|27.000|M510006130
1815|G0311042|G03|20260204|130014|7123622440|UB2|0000000004|24.106|M51MB01410
1815|F0605019|F06|20260204|130014|7158422590|Y2|0000000008|13.997|M510018800
1815|G0201504|G02|20260204|130014|7158576890|UB1|0000000004|12.802|M510018800
1815|F0101028|F01|20260204|130014|7158598550|Y1|0000000002|18.900|M510006151
1815|F0204009|F02|20260204|130014|7158599250|UA1|0000000004|17.525|M510006150
1815|F0411005|F04|20260204|130014|7158601950|Y1|0000000008|16.502|M510006150
1815|F0411001|F04|20260204|130014|7158621150|Y1|0000000008|16.560|M510006151
1815|G0105010|G01|20260204|130014|7172071930|M1|0000000008|16.992|M510055530
1815|F0605006|F06|20260204|130014|7172095550|YA2|0000000008|13.997|M510129100
1815|G0205001|G02|20260204|130014|7172099750|Y1|0000000008|13.997|M510006151
1815|F0101505|F01|20260204|130014|7172099850|Y1|0000000008|19.814|M510006151
1815|G0205011|G02|20260204|130014|7172106550|Y1|0000000008|18.806|M510022100
1815|F0605019|F06|20260204|130014|7172133650|Y2|0000000016|11.981|M510129100
1815|F0101027|F01|20260204|130014|7172134930|Y1|0000000004|15.350|M510055530
1815|F0101024|F01|20260204|130014|7172149250|Y1|0000000004|15.998|M510055500
1815|F0101026|F01|20260204|130014|7172152850|Y1|0000000004|13.997|M510018800
1815|G0105015|G01|20260204|130014|7172153350|Y1|0000000008|16.013|M510018800
1815|G0105014|G01|20260204|130014|7172166130|M1|0000000008|16.992|M510055530
1815|F0101023|F01|20260204|130014|7172166330|Y1|0000000004|15.005|M510055530
1815|G0105014|G01|20260204|130014|7172168630|YA2|0000000008|18.000|M510055530
1815|F0605019|F06|20260204|130014|7172181360|YA1|0000000008|16.502|M510017200
1815|F0101027|F01|20260204|130014|7172188050|YA2|0000000004|18.000|M510109250
