Part Number|Description|Dep|PLN|Plant Mat Stat|Line|Unit/Bag|Unit/Box|UOM|Box Wgt Std|Stor.Conditions
7298522230|Connector 8p Generation Y Black|E|Z1|40|E3C12007|1000.000|1080.000|EA|9612.000|
7298522040|Connector 8p Generation Y Light Gray|E|Z1|40|E3C12007|1000.000|1080.000|EA|9612.000|
7298511530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298511430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298511330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298511230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298510630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298510530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298510430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298510030|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7297165430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297165330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|135.000|
7297165130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297165030|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297164930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297164830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297164730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297163630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297163430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297163330|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7297141530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7288892070|Connector 30p 110+250+MCON+YESC Yellow|E|Z1|90||250.000|250.000|EA|9172.500|
7288892030|Connector 30p MCON+YESC Black|E|Z1|90||250.000|250.000|EA|9172.500|
7288880430|52P 38 X GEN-Y 0 64 + 10 X YESCIII 1 5 +|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7288880330|52P 38 X GEN-Y 0 64 + 10 X YESCIII 1 5 +|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7288880230|52P 38 X GEN-Y 0 64 + 10 X YESCIII 1 5 +|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7288880130|52P 38 X GEN-Y 0 64 + 10 X YESCIII 1 5 +|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7288880030|52P 38 X GEN-Y 0 64 + 10 X YESCIII 1 5 +|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7288879930|52P 38 X GEN-Y 0 64 + 10 X YESCIII 1 5 +|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7288879830|52P 38 X GEN-Y 0 64 + 10 X YESCIII 1 5 +|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7288879530|52P 38 X GEN-Y 0 64 + 10 X YESCIII 1 5 +|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7288879430|52P 38 X GEN-Y 0 64 + 10 X YESCIII 1 5 +|E|Z1|40|E3C07003|150.000|150.000|EA|9045.000|
7157781780|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|1000.000|EA|740.000|
7157781380|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|5000.000|EA|650.000|
7157756690|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|2500.000|EA|7500.000|
7157683580|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|5000.000|EA|9750.000|BD
7157682730|DMS-TYPE REAR HOLDER 3P F (TPS/PFE/TPTA|E|Z1|40|E1C11001|500.000|2500.000|EA|3500.000|
