MATNR|PLWRK|GSMNG|PEDTR|MDV01|KDMAT|GUM|SHIFT
000000007223188440|1815|600.000|20260126|E3C03001|7223188440|0.00000|2
000000007282945030|1815|150.000|20260126|E3C01002|7282945030|0.00000|2
000000007283643790|1815|150.000|20260126|E3C02001|7283643790|0.00000|2
000000007283743730|1815|120.000|20260126|E3C04001|7283743730|0.00000|2
000000007287539330|1815|1000.000|20260126|E3C05001|7287539330|0.00000|2
000000000071221640|1815|6000.000|20260126|E1C11001|71221640|0.00000|2
000000000071231508|1815|800.000|20260126|E1C11001|88952787|0.00000|2
000000000071232815|1815|5000.000|20260126|E1C11001|71232815|0.00000|2
000000000071235125|1815|22000.000|20260126|E1C11001|71235125|0.00000|2
000000000071237830|1815|5000.000|20260126|E1C11001|71237830|0.00000|2
000000000071479093|1815|12000.000|20260126|E1C11001|71479093|0.00000|2
000000000071543422|1815|1000.000|20260126|E1C11001|71543422|0.00000|2
000000000071578886|1815|5000.000|20260126|E1C11001|71578886|0.00000|2
000000000071741047|1815|7200.000|20260126|E1C11001|71741047|0.00000|2
000000000071832418|1815|3200.000|20260126|E1C11001|71832418|0.00000|2
000000000071832510|1815|4000.000|20260126|E1C11001|71832510|0.00000|2
000000000071836322|1815|7500.000|20260126|E1C11001|71836322|0.00000|2
000000007123152030|1815|500.000|20260126|E1C11001|7123152030|0.00000|2
000000007123281530|1815|10000.000|20260126|E1C11001|7123281530|0.00000|2
000000007123422030|1815|7200.000|20260126|E1C11001|7123422030|0.00000|2
000000007123422040|1815|2400.000|20260126|E1C11001|7123422040|0.00000|2
000000007123762430|1815|5000.000|20260126|E1C11001|7123762430|0.00000|2
000000007152522830|1815|4000.000|20260126|E1C11001|7152522830|0.00000|2
000000007157602070|1815|5000.000|20260126|E1C11001|7157602070|0.00000|2
000000007157602390|1815|5000.000|20260126|E1C11001|7157602390|0.00000|2
000000007157604070|1815|24000.000|20260126|E1C11001|7157604070|0.00000|2
000000007157622030|1815|10000.000|20260126|E1C11001|7157 6220 30|0.00000|2
000000007157622280|1815|3000.000|20260126|E1C11001|7157622280|0.00000|2
000000007157624030|1815|5000.000|20260126|E1C11001|7157624030|0.00000|2
000000007157624140|1815|10000.000|20260126|E1C11001|7157624140|0.00000|2
000000007157652080|1815|10000.000|20260126|E1C11001|7157 6520 80|0.00000|2
000000007158741350|1815|24300.000|20260126|E1C11001|7158741350|0.00000|2
000000007172187530|1815|1800.000|20260126|E1C11001|7172187530|0.00000|2
000000007174022330|1815|2500.000|20260126|E1C11001|7174022330|0.00000|2
000000007185052751|1815|35000.000|20260126|E1C11001|7185052751|0.00000|2
000000000072986331|1815|1632.000|20260126|E3C02001|72986331|0.00000|2
000000000071721610|1815|10000.000|20260126|E1C11001|71721610|0.00000|2
000000007289547530|1815|40000.000|20260126|E2C14001|7289547530|0.00000|2
000000007283716730|1815|6000.000|20260126|E3C01002|7283716730|0.00000|2
000000000071474069|1815|12000.000|20260126|E1C11001|71474069|0.00000|2
000000007172179830|1815|6000.000|20260126|E1C11001|7172179830|0.00000|2
000000007282769640|1815|300.000|20260126|E3C01001|19115699|0.00000|2
000000007147873540|1815|3600.000|20260126|E1C11001|7147873540|0.00000|2
000000000071231480|1815|2000.000|20260126|E1C11001|71231480|0.00000|2
000000007298905130|1815|4032.000|20260126|E3C07001|7298905130|0.00000|2
000000007286677960|1815|300.000|20260126|E3C01001|7286677960|0.00000|2
000000007123421030|1815|1200.000|20260126|E1C11001|7123421030|0.00000|2
000000000072837433|1815|20000.000|20260126|E3C01002|72837433|0.00000|2
000000007289459930|1815|6480.000|20260126|E3C10035|7289459930|0.00000|2
000000007283638640|1815|22000.000|20260126|E3C01001|7283638640|0.00000|2
000000007283607630|1815|20000.000|20260126|E3C03001|7283607630|0.00000|2
000000007289460630|1815|11880.000|20260126|E3C10033|7289460630|0.00000|2
000000007298681840|1815|500.000|20260126|E3C04001|7298681840|0.00000|2
000000007282915030|1815|300.000|20260126|E3C04001|7282915030|0.00000|2
000000000071236060|1815|1300.000|20260126|E1C11001|71236060|0.00000|2
000000000072851327|1815|900.000|20260126|E3C03001|72851327|0.00000|2
000000000072835830|1815|2600.000|20260126|E3C10007|72835830|0.00000|2
000000007283388530|1815|6240.000|20260126|E3C03001|7283388530|0.00000|2
000000007297811130|1815|150.000|20260126|E3C07003|7297811130|0.00000|2
000000007287888360|1815|2400.000|20260126|E3C07001|7287888360|0.00000|2
000000007223782630|1815|2400.000|20260126|E3C03001|7223782630|0.00000|2
000000007283974930|1815|1080.000|20260126|E3C04001|7283974930|0.00000|2
000000007385165751|1815|5184.000|20260126|E3C09001|7385165751|0.00000|2
000000007298306030|1815|24000.000|20260126|E3C03001|13534439|0.00000|2
000000007297615830|1815|664.000|20260126|E3C07003|7297615830|0.00000|2
000000007297871730|1815|382.000|20260126|E3C07003|7297871730|0.00000|2
000000007297957930|1815|2691.000|20260126|E3C07003|7297957930|0.00000|2
000000000072834576|1815|48600.000|20260126|E2C14001|72834576|0.00000|2
000000000072834577|1815|15120.000|20260126|E2C14001|72834577|0.00000|2
000000000072834578|1815|20160.000|20260126|E2C14001|72834578|0.00000|2
000000000072838349|1815|49500.000|20260126|E3C01002|72838349|0.00000|2
000000000072851328|1815|20052.000|20260126|E3C03001|72851328|0.00000|2
